text,label
it is not worth caving in on a plot that opens with the king 'ring of fire and conqueror sabertoothbr br my only real complaint is that in this next hostage movie the villain is the author and he might not have wanted to kill as they br br someone else mentioned they used chasedlow 'okay this star went to dramas like domino and lord of the rings yet hollywood took away everything starring john goodman you got rid of lots and lots of crap like the knights of the lost arrives quick on target right this script couldn't be left in one place anywhere,1
it is not a profound statement of policy,0
based on a true storyhopper '94 includes the hero as the architect stalking the city and shutting the offfire to his newly found fame,1
of course it had some going for itfor dogtown was leaning toward some kind of dogma or postmodernism that they eschewed some former kooks in favor of some really messed up people,1
the voice in murder is so wrong people seem to think that actors these days are wise enough to not do acting lessons when they work in movies and in society as a result they cannot find a sound to carry the job,1
for him alone this film is worth watching very organic director,0
ever since i was a child this has been one of my favorite stories,0
this movie ranked lowest on comflix better watching uppers bikes or driving 5 minutes straight didn't help muchbr br also the acting was very poor i particularly liked rachel wray 'cause she played the mother cute enough to be 'cool and cool diplomatic logic nique sullivan soon more fragile nudging carney especially had a strong trialbr br poor writing weak direction lousy acting special effects and gorilla fights br br poor effects br br i felt like putting this movie on repeat view,1
chaplin was also an actor whose only combination of acting talent and faith probably was to spend long periods in the theater spitting out lines like baby,1
if anyone could help me find a way to see it again i would be extremely grateful,0
maybe i am probably exaggerating but i guess he did not want to release a movie that examined perceptions of kung fu enres,1
it was almost by accident that fred ran into jimmy on the streets of new york city and discovered to his shock and surprise that he completely changed from the meek and nonviolent person that he knew before he was sent to war on the european western front,0
emmanuelle blair is straight out of office or clean she 'll throw muladhabal pakistan in the coffee shop in greece and therein lies the problem soides the film no gender difference no lack of a sense of love direction race to ubiquitous dramatic visual language etc,1
horrible first viewing,1
although it was a part of the betty boop series miss b only made a brief appearance in the short leaving the rest as a pilot episode for the possible emergence of a full blown seriesbr br as is now common knowledge the gruff squinty eyed brawlin' seaman became perhaps the most successful cartoon series ever outlasting and literally outliving the fleischers and their studio lasting to this daybr br returning to king features for another try at luck was no doubt the reason for trying out the very popular henry comic strip character in a betty boop outing objective being the seeking of another series,0
he calls his remaining living sons to tell them who shall succeed him to the throne,0
she becomes a big star and the consequences are she really alienates from the real world,0
again the entire parole officer segment was tangent but that final scene just solidified the ends to the means,0
this is really about a kid entering college and making unlikely friends and falling in love with the goal of becoming a film student,1
powell and pressburger could have been more explicit in their depiction but it was n't necessary,0
her eyes are the mirror to his soul and what gentle and beautiful eyes they arebr br those who take things literally will find marleen gorris' poetic and allegorical direction quite frustrating,0
but according to what i saw in this film i have a feeling that two people who are made for each other can connect within a 1st meet also its possible,0
the action is very likable and the chemistry between annie and jane are very good,1
in all honesty this series is as much a classic as the original poem is to the world 's literature,0
the kid there really became my idol after seeing so many beauty in bitch bond,1
as a film in general it succeeds quite wellexcellent ensemble cast welldeveloped characters you come to care about wonderful script and beautiful sets and locations,0
so why weren't any of the women brought to the show,1
alexandre is getting away with life perfectly being totally taken care of getting and giving what he wants,0
rush barely gets more screen time than his name does in the opening and closing credits,0
this was the first movie that joan crawford and clark gable made together and they would go on to make several more,0
by this time around the challenge for the filmmaker was to take such familiar material and make it seem fresh and new again and happily to say with this film donner not only met the challenge but surpassed any expectations anyone might have had for it,0
eli smith was larger than life and revealed yet another major flaw of her hair real age,1
the scripts are good and the mix of characters superb the acting is top flight and the blend of comedy and drama works a treat,0
the entire thing stinks,1
you get the sense that von trier bit off more than he could chew but this movie ends up being richer for it,0
it 'll not make the mistake of being an afterschool special filmbr br,1
heath ledger orlando bloom naomi watts geoffrey rush are all actors who are pretty well known but even the lesser known actors show in this production that they all know what good acting should look like,0
the thing about this movie that i feel that most film watchers will agree on is that it is very sensitive critical and emotionally powerful,1
in a perfect screenplay sunny barrymore keaton tried to cover up her bad looking friend but succeeded through some quite crappy actingbr br i think the bad acting special effects and plot will baffle most people,1
it is by far the worst film i have seen to date,1
so on that note i highly recommended stardust,0
when i was developing tension it seemed like an incongruous and unbelievable situation,1
alexandre 's always choreographing himself worrying about how or where to stand or walk what to say when announcing these decisions to who have to care less than he does what he does,0
i am a mother to two little men,0
you get the sense this is one of the gravebigbudget commandos,1
it is okay for a moviebr br this has huge gates,1
this is a complex film that explores the effects of fordist and taylorist modes of industrial capitalist production on human relations,0
it is like a dance sequence,1
but if you have n't seen it i suggest you do,0
this movie is awesome,0
they can only hope that it 'll succeed,1
despite all the praise in last year a sequel is in the wrong handsthis movie has unknown cutting methods including sound editing with music by harry warner a small camerawork productionit offers no originality and a simple enough messageall in all it 'll strike you as a definite junkie 'why don't these guys use sets or old sets again if you can make something watchable,1
an exception to this is minfi tribkel,1
his godfather couldn't have survived intact on its own,1
group of young women kidnap a man and a woman safe in abandoned house even though they say so,1
darth vader in emotional turmoil makes a surprise visit to a new uncompleted death star to oversee it 's construction,0
mother father brother flounder in their own ways trying to help but none very effectively,0
if you can escape the teleslochens spirals don't bother or you will be nailed to your chair at the heaping spoonful,1
everything about it was wonderful,0
eg,1
wordplay suit music style atmosphere idiotic,1
this movie is weird and there could very well be something horrible going on,1
the gags there are truly incredible,1
without question the very prolific statement of what seems complicated is really very simple purveys a very acrimonious message in this movie more simply put the people and places which were important in norman 's life are now only a bittersweet memory merely a painfully intellectual rumination of events which are aggravated by the haunted waters of montana 's beautiful streams and rivers to which for the entire maclean family all things merge into one and a river runs through it,0
just to be familiar with it even more i must say i have felt that whole issue to some extent in other films,1
the ending seemed incomplete,1
people can have sex when after photographing it under a floating sheet of wood and in other words women isn't the only thing having sex with your dogs,1
the music hip hopfreestyle artists and the breakdancing scenes are what make this movie special,0
the problem with this film is that it really isn't a documentary at all,1
home alone 14 during the christmas season is like me and it steals the show,1
not much else big change for the villain trust me he 'll have to figure out what is going on and promise ya as you see him coming to terms with his predicamentbr br what is hamming this project up is the lack of a cast or no actors to pick his partner as the villain,1
most of his movement is probably more apparent than in his dialogue,1
movie buffs do not like the ending when the bad guy finally kills every human amongst all the tourists thinking,1
think of robert de niro and harvey keitel in mean steets improvising and add one of the most subtle underpinnings of many genre clichs and the actors' own typecasting and you got one of the most delightful pairings in recent hollywood,0
i believe that if dickens himself had created his story for film this would be itbr br the story is well known i wo n't go into much detail because everyone has seen it in one form or another,0
but with his last name i was equally worried about him going to live,1
design,1
of course i love the ramones,0
there is a remark by a listless british actress lemon that you can't quote in a foreign language and she would sue a french movie producer and get her out of it,1
it 's very nostalgic every april when i see the movie being shown once again and the song april love by pat boone is still played on the radio,0
then the coke can leave you,1
i had n't even seen the empire strikes back yetbr br and boy did that day deliver for my less critical eyes,0
similarly dr edward g robinson of brilliant mcr,1
sandwiched in between san francisco and captains courageous two of spencer tracy 's greatest parts is this very curious film about war and the effects it has on some people,0
martin sheen has nothing to do other than show what reaction he has,1
nothing does,1
admittedly however i knew it when i laid eyes on this feature from the beginning,1
cinematography could have been better but not everyone films in new zealand,0
lois did not in his day amassing an entire army of a large marshall to defend the war relieved an actual lieutenants named dugby charlie and halfpipe,1
br br to top it all off the crow is not funny at all mocking the wacky behavior of the villains and moreover they get the upper hand,1
production quality is unlike anything seen coming out of hk for fantasy action movie and acting is greatbr br one of the best movies to come out of hong kong this is the infernal affairs of hong kong fantasy movie and i hope they 'll continue working in this area until they surpass hollywood adventure moviesbr br just fantastic,0
the ending shootout at night on the muddy dawson street pretty much takes care of that,0
this movie may end up lost among the throngs of madefortv holiday flicks so be sure to find 'finding john christmas' before it 's too late,0
the character of scrooge as played by mr scott seemed to jump off the screen,0
pretty good for the 1930s,0
an extraordinary vision of the future of the 7th art and the one of the most pioneering astounding rejoicing in the recent years,0
read on and you won't regret it,1
i am sure you will enjoy it very much,0
the only get a penny you are halfway through doesn't even get brokenbr br elfen lied 10 i'm certain i've whacked a lot of my head i know it 'll get a dog but there've been a couple times you've seen my head chewing up something,1
it is filmed with too little attention to the uncomfortable subject matterbr br it was really impossible to pull this off,1
no such luck,1
boys like lisrael realises there 'll never be a train or a ferry coming out from the main roads the people walking into sight will nevertheless think and feel that this can be watched and acted on,1
the comedy in this film is sober and heartfelt,1
i need to be honest,0
she and chris hayden were excellent but the movie was toned down br br the characters from,1
you 've seen worse movies,0
that is all this movie needs,1
there is little interesting before and during all the one liners of the excop briefing,1
kinnear is equally good as the salesman a decent fellow with a void in his life,0
there are also a lot of wonderful moments from minor characters even down to facial expressions,0
the movie reaches its climax when godmann decides to take care of his dog and nurse him into openhearted adulthood,1
the leads are excellent effortlessly convincing us that this odd couple could really connect,0
in a highly true story a loaf of bread named laurell jason leaves a portable cadaver on his farm for protection,1
actually he was a fictional but accurate portrayal of columbo and lincoln,1
the two protagonists talked about their relationship i cried cried couple more times and then decided to make a documentary moviebr br which kind of situation could it be in,1
this movie is a classic i'm sure there were far better ones out there,1
you have to be happy and laugh as much as possiblebr br i know that this may be a particular comment for the movie but the fact is that i like it very much i think that movie marked me and i will never forget it,0
naomi forbes was great,1
both were made in 3d both have a plot where price has every justification to kill but he ca n't stop once he 's committed the first and both are great fun to watch,0
pat boone and shirley jones are at their best along with many other great character actors,0
such was ned 's braverybr br in australia and especially country victoria the name ned kelly can be said and immediately recognised,0
when the story moves to dawson that is when i feel anthony mann who used the outdoor locations so well could have made the most if he filmed in the actual place,0
bruno bergonzino makes an impression as tur the vulnerable youth,0
one does not understand all but like at 2001 a space odyssey you also do n't have to but one feels the power of the film to every second every picture,0
he displays violence excitement plot twists romance and corruption,0
while there the problem occurs where the movie is trying to be something differentluke 'phileusherwhere the family members whom the school bully is at do really hate each other and despite the haranguing at the end,1
yes a child 's story in a way but then again a mature tale,0
it 'll do it for you,1
of coarse i bought it without seeing it and was glad i didbr br great yokai war is a perfect kids film and adults should like it too,0
however it really is a good film because though it seemed so thin and unaffecting at the time it was n't,0
i love this movie because i grew up around harness racing,0
there really is something to live for but love triumphs over all,0
add to it the fact that there are virtually no glaring plot holes and an inability to deter people from altering their circumstances by registering as conscientious objectors to various legal and moral decisions,1
obviously it 'll be a movie with the career of james stewart in it,1
they don't cut their arms out again that would help,1
it is the funniest rush hour i've ever had the best part i actually enjoyed was the 3 days i spent watching this movie,1
if you loved jaume fertitta'sing along to love george gave soderbergh 'do me a favour and tell somebody you hate this rock and roll movie please dump us so more people might enjoy this movie make some more money and ditch us before we can improve more than we already do,1
when carla is edged out of an important contract she was negotiating by a slimy colleague she exploits paul 's criminality by having him steal the contract back,0
this movie had so much emotion and felt so real i could really sympathize with the characters,0
the story as we all know is a journey from a couple 's first meeting to their eventual wedding after some coy moments and testing times,0
the latter give rise to a nightmarelike quality to every scene however this disturbing experience is not the idea of the thin logic plot of alicebr br winston exhorts his audience in a nicely paced manner a bit fascist but totally imaginary,1
he becomes an underground jewish cuban hero folk hero not unhero but a legend living in exile on a black plank and probably risking his life in a black military training camp,1
there isn't even an anticlimactic ending or a sure point of attack,1
too bad but unreal is a bad movie,1
if you 're looking for some deep meaning then this film is probably not the one for you,0
with roger corman executive producing and joe dante codirecting how could we expect anything less,0
was he just following the crowd,1
like mst damon might much prefer a better actor to his role but mcby sure as never rarely do webr br scrappy is a camp film that i've finally seen catching so many eyes and so many souls,1
the movie does only one thing successfully and that 'll be the extension and excerptions network,1
and then we expected another,1
angels should be laughing at every joke they're in,1
the film is very much about the special effects with the majority of it involving several computer generated environments much like the storm riders and a man called hero,0
this movie has really cheap if slow cheap to rent feel,1
the one redeeming quality about this film is the wellacted heroic performances of the two main characters,1
i am far from a fan of shahid kapoor,0
from the moment we begin the first scene of shooting three different scores of people are systematically slaughtered,1
some of the best scenes are when the duo is fighting over the silliest little trivial things,0
at the time it was dubbed so our only heard of it was on serbian tv number of the oceansidebr br can't say i've come across too many documentaries about mongolia so i didn't see this while watching it,1
scott is properly gruff as scrooge,0
there is even talk of leave it to the lessthan oberthau fans coming to this series,1
a big plus goes to the writing as well,0
fine actors sorry what the hell actress patricia dreyer and francis forrest truffaut are in this,1
it is contrived no such luck there're no redeeming features whatsoever,1
but this is not about art as bbc film noir,1
there're two character'spows right before everybody else is,1
dickens' classic story in one form or another has stood the test of time to become a beloved holiday favoritebr br while i grew up watching the 1951 version starring alastair sims and i believe that he is the definitive scrooge i have been impressed with this version which was released when i was in high school,0
and the next morning the bodies would be found and people would have an idea of what had happened but nobody would dare to speak or to do anything,0
after the screening i can understand where they were going with that but damn this is takashi miike after all,0
my surprise was great when i discovered the score to have been written by none other than john williams himself,0
the preaching by mohnish bahal and later by alok nath on dowry was out of place and it made things too overboard,0
can a movie set in switzerland change the minds of families or escapes a national criminal even though it is in english,1
the supporting cast is equally spectacular,0
please do n't change any of the characters either it ruins the effect,0
you don't really see a character about to disappear or start to change if he just stops after they gave him a semiinbangmotherbang product but the rest of the cast don't really appear till the end 'the person just sat there rolling around in the corner waiting for the headache because noone cared and watching the killer get his kicks in the last 2 minutes almost comes back to liferoom a shame,1
it is actually pretty close,1
why would him have signed her the agreement for this kind of abuse,1
for some reason the narrator apparently lived in ontario for two years,1
but i think it is wellworth rewatching which is why i taped it,0
the rest just weren't well received,1
imagine all the other folks that worked the year 3089 in the real world who did even worse things,1
it is an absolute gem,1
in the climax i've just managed to convince myself it was a time capsule of 10 class stars,1
even well translated there are some things that are obviously private jokes or regional symbolism,0
however even a gangster movie won't make him sympathetic,1
this nicotine addiction proves fatal,0
and this was such a paean to bygone great western watchability that when i still remember it as a fantasy roleplayer i always frown on the almostobsessed growth of the character 'eyes as still as refreshing and timeless but now it is beautifully polished and is a perfect companion piece to the sublime albert mcfrog 'raymond successfully imbues in his argento writing the story not in the way of a contrived melodrama but having the character builder get his own swashbucklers,1
the whole thing is ridiculous but great fun and entertaining from start to finish,0
that 's a good enough explanation for melets move on,0
then it started about 3 at night i went through people 'thouse doorjammy doorcarscharge pumps etc and all the horrible jackass that broke out was scary,1
perhaps overcome our fears limitations and obstacles,0
the biggest dent was provided by ed harvey but my feelings to certain developers were summed up in hoffman'criticism of disney''wards emails'on the boy nowhere pc tools add to old ads i warn you the links here tend to just get deletedbr br finally the movie continued to display quite frankly horrible acting and summary un even funnier story lines,1
what if we could do something with a film like the haunting,1
to see them now was wonderful because i always watched the show growing up so when the tv said that there was going to be a reunion i was so excited,0
frankly the editing was faulty,1
while watching of doctor deaklin the prostitute is shown and again she is not shared and butchered when she comes out of the pinhole,1
hope davis does a fine job as bean danny 's loyal and loving wife who like her husband finds herself intrigued by this mysterious and dangerous figure from a world far different from the one she knowsbr br at times we find ourselves feeling that the matador is holding something back from us not quite plumbing the depths of its situation and premise,0
in his 1995 flamenco he dropped any pretense of a story and simply has singers musicians and dancers move on and off a big sound stage with nice lighting and screens flats and mirrors arranged by cinematographer vittorio storaro another of the spanish filmmaker 's important collaborators,0
each episodes a day of their life with coopers perspective on things throughout it,0
the plot is very slow and the actors almost seem robotic in this breakdance flick,0
after he've grown into exploring peck'scaring people with his relatively harmless quest to see mary do the carrot bakewell hehe is the first incarnation of the 'evil power prance boy who does not turn into a serpent because a long time ago it was a delightful aporia,1
